epoch,train_loss,val_loss,train_iou,val_iou,lr
0,1.7727100849151611,1.0370943546295166,0.4027041494846344,0.26019155979156494,9.999999747378752e-05
1,1.5274614095687866,0.9985082149505615,0.6352490186691284,0.3287758529186249,9.990232501877472e-05
2,1.5675218105316162,0.991382896900177,0.7105118036270142,0.32473060488700867,9.960967872757465e-05
3,1.4583420753479004,0.9790195226669312,0.7252894639968872,0.3279224932193756,9.912321547744796e-05
4,1.3859165906906128,0.9347861409187317,0.6967803835868835,0.34455233812332153,9.844486339716241e-05
5,1.220812201499939,0.9403690695762634,0.7162164449691772,0.2884368896484375,9.757730003912002e-05
6,1.2193154096603394,0.8784357309341431,0.7248463034629822,0.3106023371219635,9.652393782744184e-05
7,1.2119805812835693,0.8588898181915283,0.7100900411605835,0.3215164840221405,9.528893860988319e-05
8,1.0732940435409546,0.8431451320648193,0.6859025359153748,0.30810412764549255,9.387717727804556e-05
9,0.9796207547187805,0.8498530983924866,0.6620028614997864,0.22569267451763153,9.229423449141905e-05
10,0.9631446599960327,0.8100962042808533,0.6758235692977905,0.27892282605171204,9.054633846972138e-05
11,0.8613827228546143,0.778483510017395,0.659322202205658,0.2949993312358856,8.864040864864364e-05
12,0.8067025542259216,0.8003455400466919,0.6957102417945862,0.2711431086063385,8.658394654048607e-05
13,0.7790206074714661,0.7343823909759521,0.6656095385551453,0.261603444814682,8.43850793899037e-05
14,0.7404744625091553,0.7270634174346924,0.670789361000061,0.21405598521232605,8.205248741433024e-05
15,0.6669668555259705,0.7149351835250854,0.659771740436554,0.3046938180923462,7.959536742419004e-05
