epoch,train_loss,val_loss,train_iou,val_iou,lr
0,1.3743133544921875,1.0132790803909302,0.3518097996711731,0.09432627260684967,9.999999747378752e-05
1,1.219236135482788,0.9873089790344238,0.3541996479034424,0.09432627260684967,9.990232501877472e-05
2,1.0713064670562744,0.9506840109825134,0.33664506673812866,0.09432627260684967,9.960967872757465e-05
3,0.9926387667655945,0.9497019648551941,0.3636965751647949,0.09432627260684967,9.912321547744796e-05
4,0.9158429503440857,0.9144061207771301,0.3744778633117676,0.09432627260684967,9.844486339716241e-05
5,0.8579786419868469,0.919896125793457,0.3891758322715759,0.09432627260684967,9.757730003912002e-05
6,0.7793035507202148,0.9006499648094177,0.36541077494621277,0.09432627260684967,9.652393782744184e-05
7,0.78232342004776,0.896581768989563,0.33060628175735474,0.09432627260684967,9.528893860988319e-05
8,0.7330482602119446,0.8870168924331665,0.359200119972229,0.09432627260684967,9.387717727804556e-05
9,0.733783483505249,0.959724485874176,0.3535408675670624,0.09432633221149445,9.229423449141905e-05
10,0.7023881077766418,0.8762805461883545,0.3771226406097412,0.0949106439948082,9.054633846972138e-05
11,0.6990261077880859,0.8510614633560181,0.34886467456817627,0.09576044976711273,8.864040864864364e-05
12,0.67092365026474,0.9097369909286499,0.3809094727039337,0.09665945917367935,8.658394654048607e-05
13,0.675024688243866,0.8788174986839294,0.39313021302223206,0.10296054929494858,8.43850793899037e-05
14,0.6785919666290283,0.8721311092376709,0.377128541469574,0.10498624294996262,8.205248741433024e-05
15,0.649432361125946,0.8654212355613708,0.44092223048210144,0.12896406650543213,7.959536742419004e-05
16,0.6420601010322571,0.8547168970108032,0.4693356454372406,0.13279350101947784,7.702342554694042e-05
17,0.6156456470489502,0.8506647348403931,0.4798705577850342,0.14838087558746338,7.434680446749553e-05
18,0.6548669934272766,0.8455830216407776,0.4724850058555603,0.11749865859746933,7.15760761522688e-05
19,0.6133365035057068,0.8403739929199219,0.5138238072395325,0.14619001746177673,6.87221618136391e-05
20,0.6213833093643188,0.8682489991188049,0.5175749063491821,0.13155968487262726,6.579633918590844e-05
21,0.6315494179725647,0.816152036190033,0.49962374567985535,0.1516226977109909,6.281014793785289e-05
22,0.6237503886222839,0.8596668243408203,0.5329551100730896,0.13789500296115875,5.977537512080744e-05
23,0.6260051131248474,0.8149176836013794,0.5603204369544983,0.21089942753314972,5.6703993323026225e-05
24,0.580201268196106,0.8145912885665894,0.6129345297813416,0.22390732169151306,5.360813156585209e-05
25,0.5875446200370789,0.8718575835227966,0.6202922463417053,0.1892366260290146,5.0499998906161636e-05
26,0.5855266451835632,0.8374218344688416,0.6155413389205933,0.20745249092578888,4.739186988444999e-05
27,0.5854395031929016,0.8036642670631409,0.6397193670272827,0.2235024869441986,4.429600448929705e-05
28,0.5642496943473816,0.81076979637146,0.6482575535774231,0.263520747423172,4.122462632949464e-05
29,0.6142778992652893,0.8074999451637268,0.5933433175086975,0.22442196309566498,3.818984987447038e-05
30,0.5600160360336304,0.7941075563430786,0.648815393447876,0.2675938010215759,3.5203658626414835e-05
31,0.5578246116638184,0.8266755938529968,0.6451452970504761,0.22449499368667603,3.227783599868417e-05
32,0.5511175394058228,0.7850364446640015,0.6559531092643738,0.25465869903564453,2.9423925298033282e-05
33,0.57993483543396,0.7876689434051514,0.6182931065559387,0.2370469868183136,2.665319334482774e-05
34,0.5511742234230042,0.7877362966537476,0.6452533602714539,0.24738207459449768,2.397657408437226e-05
35,0.5267496705055237,0.7955467104911804,0.6950251460075378,0.2593865394592285,2.1404630388133228e-05
36,0.5315998196601868,0.8024543523788452,0.6537331342697144,0.23715363442897797,1.8947512216982432e-05
37,0.5155972242355347,0.7808942794799805,0.683287501335144,0.2783193290233612,1.6614918422419578e-05
38,0.5524827241897583,0.7993643283843994,0.645228922367096,0.2335934191942215,1.4416053090826608e-05
39,0.5136449337005615,0.7788711786270142,0.7058517932891846,0.2977224588394165,1.235959462064784e-05
40,0.5226385593414307,0.7871341705322266,0.6684521436691284,0.2687879204750061,1.0453658433107194e-05
41,0.5257426500320435,0.7929198741912842,0.6734123826026917,0.25062549114227295,8.705767868377734e-06
42,0.5179939270019531,0.799741268157959,0.6816443204879761,0.2678285539150238,7.122819170035655e-06
43,0.5376353859901428,0.7948980927467346,0.6538774371147156,0.2650051712989807,5.7110610214294866e-06
44,0.5168594717979431,0.7991105318069458,0.6810213923454285,0.2514125406742096,4.476064077607589e-06
45,0.5462011694908142,0.8181971311569214,0.6418023705482483,0.2455735206604004,3.422702548050438e-06
46,0.5276830196380615,0.8013817667961121,0.6539454460144043,0.24313993752002716,2.555133505666163e-06
47,0.5345304012298584,0.7943107485771179,0.6531744599342346,0.26147982478141785,1.8767810843201005e-06
48,0.5592333674430847,0.8080964684486389,0.6226235032081604,0.2420375794172287,1.390322267980082e-06
49,0.5305533409118652,0.8115230202674866,0.6538273692131042,0.24271360039710999,1.0976768862747122e-06
