epoch,train_loss,val_loss,train_iou,val_iou,lr
0,1.8061667680740356,1.043351411819458,0.29077720642089844,0.27809470891952515,9.999999747378752e-05
1,1.5657869577407837,1.0094728469848633,0.5820821523666382,0.3063194155693054,9.990232501877472e-05
2,1.604454755783081,0.9952636957168579,0.6470234394073486,0.33622995018959045,9.960967872757465e-05
3,1.4846662282943726,0.9831418991088867,0.7063791155815125,0.26663392782211304,9.912321547744796e-05
4,1.399727702140808,0.928994357585907,0.6931111216545105,0.3286941349506378,9.844486339716241e-05
5,1.2404357194900513,0.905255138874054,0.70269775390625,0.31360670924186707,9.757730003912002e-05
6,1.220471739768982,0.8855502009391785,0.7141740322113037,0.2860635221004486,9.652393782744184e-05
7,1.2035425901412964,0.8419572114944458,0.711920976638794,0.30089515447616577,9.528893860988319e-05
8,1.054905891418457,0.8436138033866882,0.7021921277046204,0.29032212495803833,9.387717727804556e-05
9,0.9753605127334595,0.8480116724967957,0.6731138229370117,0.20611588656902313,9.229423449141905e-05
10,0.9552757740020752,0.8138247132301331,0.6844754815101624,0.29070350527763367,9.054633846972138e-05
11,0.8538422584533691,0.8000290393829346,0.6655391454696655,0.30163440108299255,8.864040864864364e-05
12,0.8208441734313965,0.7850072979927063,0.6957540512084961,0.28277868032455444,8.658394654048607e-05
13,0.8252472877502441,0.7904488444328308,0.6584339737892151,0.18491105735301971,8.43850793899037e-05
14,0.7816603183746338,0.7476666569709778,0.6650170683860779,0.2514986991882324,8.205248741433024e-05
