epoch,train_loss,val_loss,train_iou,val_iou,lr
0,,,,,9.999999747378752e-05
1,,,,,9.990232501877472e-05
2,,,,,9.960967872757465e-05
3,,,,,9.912321547744796e-05
4,,,,,9.844486339716241e-05
5,,,,,9.757730003912002e-05
6,,,,,9.652393782744184e-05
7,,,,,9.528893860988319e-05
8,,,,,9.387717727804556e-05
9,,,,,9.229423449141905e-05
10,,,,,9.054633846972138e-05
11,,,,,8.864040864864364e-05
12,,,,,8.658394654048607e-05
13,,,,,8.43850793899037e-05
14,,,,,8.205248741433024e-05
15,,,,,7.959536742419004e-05
16,,,,,7.702342554694042e-05
17,,,,,7.434680446749553e-05
18,,,,,7.15760761522688e-05
19,,,,,6.87221618136391e-05
20,,,,,6.579633918590844e-05
21,,,,,6.281014793785289e-05
22,,,,,5.977537512080744e-05
23,,,,,5.6703993323026225e-05
24,,,,,5.360813156585209e-05
25,,,,,5.0499998906161636e-05
26,,,,,4.739186988444999e-05
27,,,,,4.429600448929705e-05
28,,,,,4.122462632949464e-05
29,,,,,3.818984987447038e-05
30,,,,,3.5203658626414835e-05
31,,,,,3.227783599868417e-05
32,,,,,2.9423925298033282e-05
33,,,,,2.665319334482774e-05
34,,,,,2.397657408437226e-05
35,,,,,2.1404630388133228e-05
36,,,,,1.8947512216982432e-05
